瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),瘤搁柯档(∑C)
143,措备,2024-01-01 00:00,1.4,,87,-.9
143,措备,2024-01-01 01:00,.8,,91,-1.5
143,措备,2024-01-01 02:00,0,,93,-2.1
143,措备,2024-01-01 03:00,-.5,,95,-2.7
143,措备,2024-01-01 04:00,-.9,,96,-3.1
143,措备,2024-01-01 05:00,-1.3,,96,-3.6
143,措备,2024-01-01 06:00,-1.5,,97,-3.8
143,措备,2024-01-01 07:00,-1.5,,97,-4
143,措备,2024-01-01 08:00,-1.6,,97,-3.7
143,措备,2024-01-01 09:00,.2,,98,-1.5
143,措备,2024-01-01 10:00,1.7,,89,0
143,措备,2024-01-01 11:00,4.5,,75,3.6
143,措备,2024-01-01 12:00,7.2,,61,11.1
143,措备,2024-01-01 13:00,8.6,,54,13.7
143,措备,2024-01-01 14:00,8.7,,52,12.8
143,措备,2024-01-01 15:00,9.3,,49,9.6
143,措备,2024-01-01 16:00,9.3,,50,7.3
143,措备,2024-01-01 17:00,7.9,,54,3.9
143,措备,2024-01-01 18:00,6.9,,60,4
143,措备,2024-01-01 19:00,6.9,,59,3.5
143,措备,2024-01-01 20:00,6.3,,61,3.2
143,措备,2024-01-01 21:00,5.3,,65,1.8
143,措备,2024-01-01 22:00,5.2,,68,2.8
143,措备,2024-01-01 23:00,4.8,,71,2.3
143,措备,2024-01-02 00:00,4,,74,2.3
143,措备,2024-01-02 01:00,3.8,,74,2.1
143,措备,2024-01-02 02:00,3.5,,76,2.1
143,措备,2024-01-02 03:00,3.5,,78,2.2
143,措备,2024-01-02 04:00,3.3,,80,.9
143,措备,2024-01-02 05:00,3.1,,81,1.7
143,措备,2024-01-02 06:00,2.6,,83,-.2
143,措备,2024-01-02 07:00,2.5,,86,.4
143,措备,2024-01-02 08:00,3,,82,1.1
143,措备,2024-01-02 09:00,3.9,,79,4
143,措备,2024-01-02 10:00,6.7,,68,8.5
143,措备,2024-01-02 11:00,8.4,,54,11.1
143,措备,2024-01-02 12:00,9,,48,13.4
143,措备,2024-01-02 13:00,8.9,,47,12.2
143,措备,2024-01-02 14:00,10.3,,46,15.1
143,措备,2024-01-02 15:00,10.2,,45,13.5
143,措备,2024-01-02 16:00,8.9,,49,9.4
143,措备,2024-01-02 17:00,8.2,,52,6.6
143,措备,2024-01-02 18:00,7.2,,55,4.4
143,措备,2024-01-02 19:00,6.9,,56,3.8
143,措备,2024-01-02 20:00,6.8,,58,3.7
143,措备,2024-01-02 21:00,6.6,,60,3.6
143,措备,2024-01-02 22:00,6.2,,62,3.6
143,措备,2024-01-02 23:00,6.1,,63,3.3
143,措备,2024-01-03 00:00,5.8,,64,3.3
143,措备,2024-01-03 01:00,5.5,,65,3.3
143,措备,2024-01-03 02:00,5.4,,65,3.4
143,措备,2024-01-03 03:00,5.1,,65,3.4
143,措备,2024-01-03 04:00,3.4,,86,2.8
143,措备,2024-01-03 05:00,2.4,,92,2.4
143,措备,2024-01-03 06:00,1.9,2.9,93,2.2
143,措备,2024-01-03 07:00,2,,93,2.2
143,措备,2024-01-03 08:00,2,,93,2.3
143,措备,2024-01-03 09:00,1.9,1.2,93,3
143,措备,2024-01-03 10:00,2.8,,88,5.1
143,措备,2024-01-03 11:00,4.2,,74,8.7
143,措备,2024-01-03 12:00,5.4,.1,67,11.1
143,措备,2024-01-03 13:00,5.6,,63,11.1
143,措备,2024-01-03 14:00,6.9,,58,13
143,措备,2024-01-03 15:00,6.2,,54,7.1
143,措备,2024-01-03 16:00,6.2,,54,5.7
143,措备,2024-01-03 17:00,5.7,,58,4.1
143,措备,2024-01-03 18:00,5.1,,61,1.9
143,措备,2024-01-03 19:00,5,,62,2.3
143,措备,2024-01-03 20:00,4.8,,63,2.7
143,措备,2024-01-03 21:00,4.5,,65,2.3
143,措备,2024-01-03 22:00,4.1,,67,2.4
143,措备,2024-01-03 23:00,3.3,,63,-.1
143,措备,2024-01-04 00:00,2.9,,64,-.4
143,措备,2024-01-04 01:00,2.5,,64,-1.1
143,措备,2024-01-04 02:00,2,,65,-.8
143,措备,2024-01-04 03:00,1.7,,65,-1.3
143,措备,2024-01-04 04:00,1.3,,65,-2.1
143,措备,2024-01-04 05:00,.9,,65,-2.6
143,措备,2024-01-04 06:00,-.2,,69,-4
143,措备,2024-01-04 07:00,-1.2,,77,-4.9
143,措备,2024-01-04 08:00,-1.7,,80,-5
143,措备,2024-01-04 09:00,1.3,,57,-2.4
143,措备,2024-01-04 10:00,3.4,,48,-.8
143,措备,2024-01-04 11:00,4.6,,44,1.4
143,措备,2024-01-04 12:00,6,,39,10.2
143,措备,2024-01-04 13:00,7.1,,33,13.1
143,措备,2024-01-04 14:00,7.9,,32,13
143,措备,2024-01-04 15:00,8.8,,30,11.3
143,措备,2024-01-04 16:00,9.2,,28,6.2
143,措备,2024-01-04 17:00,7.4,,34,2.9
143,措备,2024-01-04 18:00,5.7,,40,-.1
143,措备,2024-01-04 19:00,3.7,,52,-.7
143,措备,2024-01-04 20:00,2.3,,56,-1.4
143,措备,2024-01-04 21:00,1.5,,62,-2.1
143,措备,2024-01-04 22:00,.2,,70,-2.9
143,措备,2024-01-04 23:00,0,,68,-3.4
143,措备,2024-01-05 00:00,-.9,,75,-3.9
143,措备,2024-01-05 01:00,-1.1,,78,-4.3
143,措备,2024-01-05 02:00,-1.4,,82,-4.8
143,措备,2024-01-05 03:00,-1.3,,81,-4.6
143,措备,2024-01-05 04:00,-1.9,,82,-5.2
143,措备,2024-01-05 05:00,-2,,86,-5.4
143,措备,2024-01-05 06:00,-2.2,,86,-5.3
143,措备,2024-01-05 07:00,-2.2,,89,-5.7
143,措备,2024-01-05 08:00,-2.2,,88,-4.9
143,措备,2024-01-05 09:00,.3,,79,-2.3
143,措备,2024-01-05 10:00,2.6,,71,-.2
143,措备,2024-01-05 11:00,5.4,,60,3.3
143,措备,2024-01-05 12:00,7.8,,54,9.5
143,措备,2024-01-05 13:00,10.6,,48,13.9
143,措备,2024-01-05 14:00,12.3,,43,13.7
143,措备,2024-01-05 15:00,12,,42,13.5
143,措备,2024-01-05 16:00,11.3,,46,9.1
143,措备,2024-01-05 17:00,10.8,,48,6.4
143,措备,2024-01-05 18:00,10.1,,52,5.2
143,措备,2024-01-05 19:00,8.9,,56,3.5
143,措备,2024-01-05 20:00,8.2,,58,2
143,措备,2024-01-05 21:00,6.2,,68,1.1
143,措备,2024-01-05 22:00,4.7,,75,-.1
143,措备,2024-01-05 23:00,4.3,,76,.8
143,措备,2024-01-06 00:00,3.7,,82,.3
143,措备,2024-01-06 01:00,3,,81,-.2
143,措备,2024-01-06 02:00,2.1,,87,-.6
143,措备,2024-01-06 03:00,1.5,,89,-1.2
143,措备,2024-01-06 04:00,1.5,,90,-1.7
143,措备,2024-01-06 05:00,1,,91,-2.4
143,措备,2024-01-06 06:00,.1,,92,-3.1
143,措备,2024-01-06 07:00,.8,,87,-3.1
143,措备,2024-01-06 08:00,2.5,,55,-2.6
143,措备,2024-01-06 09:00,3.4,,53,-1.2
143,措备,2024-01-06 10:00,4.8,,46,-.3
143,措备,2024-01-06 11:00,6.2,,36,2.6
143,措备,2024-01-06 12:00,7.1,,30,9.5
143,措备,2024-01-06 13:00,7.7,,27,11.7
143,措备,2024-01-06 14:00,8.9,,24,12.2
143,措备,2024-01-06 15:00,8.1,,24,9.4
143,措备,2024-01-06 16:00,7.8,,24,5.7
143,措备,2024-01-06 17:00,6.8,,26,2.8
143,措备,2024-01-06 18:00,5.5,,29,.6
143,措备,2024-01-06 19:00,4.5,,31,-.6
143,措备,2024-01-06 20:00,4.2,,32,-1
143,措备,2024-01-06 21:00,3.8,,35,-1.4
143,措备,2024-01-06 22:00,3.4,,41,-1.7
143,措备,2024-01-06 23:00,1.2,,50,-2.4
143,措备,2024-01-07 00:00,.4,,52,-1.5
143,措备,2024-01-07 01:00,1.8,,54,-1
143,措备,2024-01-07 02:00,2.6,,57,-.5
143,措备,2024-01-07 03:00,2.1,,60,-1.2
143,措备,2024-01-07 04:00,1.8,,54,-1.6
143,措备,2024-01-07 05:00,1.3,,52,-1.7
