일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2020-07-09,대구(143),X,30.3,29.7,24.4,20.8,74.3,X,관심,X,매우높음
2020-07-10,대구(143),X,30.1,28.4,24.0,21.0,84.0,X, ,X,보통
2020-07-11,대구(143),X,31.2,31.3,25.5,21.6,71.6,X, ,X,높음
2020-07-12,대구(143),X,24.0,21.9,20.4,18.1,82.8,X, ,X,높음
2020-07-13,대구(143),X,23.9,21.0,19.2,18.2,89.3,X, ,X,보통
2020-07-14,대구(143),X,23.8,21.5,19.6,18.4,89.6,X, ,X,보통
2020-07-15,대구(143),X,24.5,22.9,19.2,17.5,83.8,X, ,X,보통
2020-07-16,대구(143),X,28.3,28.8,22.2,16.8,65.8,X, ,X,매우높음
2020-07-17,대구(143),X,28.4,28.8,22.7,17.3,65.9,X, ,X,매우높음
2020-07-18,대구(143),X,28.0,27.6,22.4,16.8,71.0,X, ,X,높음
2020-07-19,대구(143),X,30.0,28.0,24.3,20.5,78.4,X, ,O,높음
2020-07-20,대구(143),O,33.2,32.8,29.1,25.9,63.4,O,관심,X,보통
2020-07-21,대구(143),X,31.3,31.8,26.9,22.8,64.9,O,주의,X,매우높음
2020-07-22,대구(143),X,27.0,25.1,22.5,21.5,94.3,X, ,X,보통
2020-07-23,대구(143),X,26.0,22.5,21.7,21.0,91.8,X, ,X,보통
2020-07-24,대구(143),X,25.7,23.0,21.3,20.2,91.1,X, ,X,보통
2020-07-25,대구(143),X,27.1,24.8,21.9,20.1,93.6,X, ,X,보통
2020-07-26,대구(143),X,30.2,30.2,25.0,21.3,75.0,X, ,X,매우높음
2020-07-27,대구(143),X,27.2,24.6,22.6,21.3,89.9,X, ,X,높음
2020-07-28,대구(143),X,27.0,24.2,22.3,21.3,91.8,X, ,X,보통
2020-07-29,대구(143),X,27.9,24.7,23.1,21.6,94.4,X, ,X,보통
2020-07-30,대구(143),X,27.8,25.0,23.1,21.2,91.8,X,관심,X,보통
2020-07-31,대구(143),X,32.1,31.5,26.1,21.9,81.0,O,주의,X,높음
2020-08-01,대구(143),O,33.1,34.1,27.7,23.9,74.9,O,주의,X,높음
2020-08-02,대구(143),O,33.8,33.4,28.6,24.6,69.6,O,주의,O,매우높음
2020-08-03,대구(143),O,33.2,33.0,29.1,25.7,66.3,O,주의,X,높음
2020-08-04,대구(143),O,34.2,34.4,29.3,24.9,66.8,O,경고,O,높음
2020-08-05,대구(143),O,33.3,33.0,28.9,25.4,68.9,O,경고,O,높음
2020-08-06,대구(143),X,32.5,31.2,28.5,25.8,72.6,X, ,O,보통
2020-08-07,대구(143),X,30.0,27.1,24.6,22.5,93.6,X, ,X,보통
